sample_id,sentence_id,entities
1,1,"[{""text"": ""Turkish"", ""label"": ""MISC""}]"
1,2,"[{""text"": ""Merlene Ottey"", ""label"": ""PER""}, {""text"": ""Jamaica"", ""label"": ""LOC""}]"
1,3,"[{""text"": ""MOSCOW"", ""label"": ""LOC""}]"
1,4,[]
1,5,[]
1,6,[]
1,7,"[{""text"": ""Poland"", ""label"": ""LOC""}, {""text"": ""Dariusz Rosati"", ""label"": ""PER""}, {""text"": ""Yugoslavia"", ""label"": ""LOC""}, {""text"": ""PAP"", ""label"": ""ORG""}]"
1,8,"[{""text"": ""Atlanta Games"", ""label"": ""MISC""}, {""text"": ""Edwards"", ""label"": ""PER""}, {""text"": ""Sarajevo"", ""label"": ""LOC""}, {""text"": ""Bosnia"", ""label"": ""LOC""}, {""text"": ""Balkans"", ""label"": ""LOC""}, {""text"": ""Milan"", ""label"": ""LOC""}]"
1,9,"[{""text"": ""Wang"", ""label"": ""PER""}, {""text"": ""China"", ""label"": ""LOC""}]"
1,10,"[{""text"": ""Frank Busemann"", ""label"": ""PER""}, {""text"": ""Germany"", ""label"": ""LOC""}]"
1,11,"[{""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""French"", ""label"": ""MISC""}, {""text"": ""British"", ""label"": ""MISC""}]"
1,12,[]
1,13,"[{""text"": ""Buducnost ( V )"", ""label"": ""ORG""}, {""text"": ""OFK Beograd"", ""label"": ""ORG""}]"
1,14,[]
1,15,"[{""text"": ""BOSTON"", ""label"": ""ORG""}]"
1,16,"[{""text"": ""BIRMINGHAM"", ""label"": ""ORG""}, {""text"": ""England"", ""label"": ""LOC""}]"
1,17,"[{""text"": ""South Korean"", ""label"": ""MISC""}]"
1,18,"[{""text"": ""HONG KONG OPEN"", ""label"": ""MISC""}]"
1,19,"[{""text"": ""Jamaica"", ""label"": ""LOC""}, {""text"": ""Michael Green"", ""label"": ""PER""}, {""text"": ""Bailey"", ""label"": ""PER""}]"
1,20,"[{""text"": ""Tavildara"", ""label"": ""LOC""}]"
1,21,"[{""text"": ""Cofinec"", ""label"": ""ORG""}, {""text"": ""Budapest"", ""label"": ""LOC""}]"
1,22,"[{""text"": ""Stirling"", ""label"": ""ORG""}, {""text"": ""Dundee"", ""label"": ""ORG""}]"
1,23,"[{""text"": ""SAN DIEGO"", ""label"": ""ORG""}, {""text"": ""MONTREAL"", ""label"": ""LOC""}]"
1,24,"[{""text"": ""PANAMA"", ""label"": ""LOC""}, {""text"": ""ROBERTO DURAN"", ""label"": ""PER""}]"
1,25,"[{""text"": ""BELARUS"", ""label"": ""LOC""}, {""text"": ""ESTONIA"", ""label"": ""LOC""}, {""text"": ""WORLD CUP"", ""label"": ""MISC""}]"
1,26,"[{""text"": ""Driefontein Consolidated Ltd"", ""label"": ""ORG""}, {""text"": ""Gold Fields of South Africa Ltd"", ""label"": ""ORG""}]"
1,27,"[{""text"": ""Xiao"", ""label"": ""PER""}, {""text"": ""Manila"", ""label"": ""LOC""}, {""text"": ""Amnesty International"", ""label"": ""ORG""}, {""text"": ""China"", ""label"": ""LOC""}]"
1,28,"[{""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Nate Miller"", ""label"": ""PER""}, {""text"": ""WBA"", ""label"": ""ORG""}, {""text"": ""James Heath"", ""label"": ""PER""}]"
1,29,[]
1,30,"[{""text"": ""Sloboda"", ""label"": ""ORG""}, {""text"": ""Mladost ( BJ )"", ""label"": ""ORG""}]"
1,31,"[{""text"": ""Lance Armstrong"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Motorola"", ""label"": ""ORG""}]"
1,32,"[{""text"": ""Tavildara"", ""label"": ""LOC""}]"
1,33,"[{""text"": ""Cleveland"", ""label"": ""ORG""}, {""text"": ""White Sox"", ""label"": ""ORG""}, {""text"": ""American League Central"", ""label"": ""MISC""}]"
1,34,"[{""text"": ""AMERICAN LEAGUE"", ""label"": ""MISC""}]"
1,35,[]
1,36,"[{""text"": ""Portsmouth"", ""label"": ""LOC""}, {""text"": ""Middlesex"", ""label"": ""ORG""}, {""text"": ""J. Pooley"", ""label"": ""PER""}, {""text"": ""M. Ramprakash"", ""label"": ""PER""}, {""text"": ""M. Gatting"", ""label"": ""PER""}, {""text"": ""Hampshire"", ""label"": ""ORG""}]"
1,37,[]
1,38,"[{""text"": ""Comelf"", ""label"": ""ORG""}, {""text"": ""Bucharest"", ""label"": ""LOC""}]"
1,39,[]
1,40,"[{""text"": ""N. Knight"", ""label"": ""PER""}, {""text"": ""Moin Khan"", ""label"": ""PER""}, {""text"": ""Saqlain Mushtaq"", ""label"": ""PER""}]"
1,41,[]
1,42,"[{""text"": ""American Catholics"", ""label"": ""MISC""}]"
1,43,"[{""text"": ""Australia"", ""label"": ""LOC""}]"
1,44,[]
1,45,[]
1,46,[]
1,47,"[{""text"": ""Steve Brown"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}]"
1,48,"[{""text"": ""BERLIN"", ""label"": ""LOC""}]"
1,49,"[{""text"": ""Russia"", ""label"": ""LOC""}]"
1,50,"[{""text"": ""Michelle Freeman"", ""label"": ""PER""}, {""text"": ""Jamaica"", ""label"": ""LOC""}]"
1,51,"[{""text"": ""Pirelli"", ""label"": ""ORG""}]"
1,52,[]
1,53,"[{""text"": ""DETROIT"", ""label"": ""ORG""}, {""text"": ""Kansas City"", ""label"": ""ORG""}]"
1,54,[]
1,55,"[{""text"": ""Sjeng Schalken"", ""label"": ""PER""}, {""text"": ""Netherlands"", ""label"": ""LOC""}, {""text"": ""David Rikl"", ""label"": ""PER""}, {""text"": ""Czech Republic"", ""label"": ""LOC""}]"
1,56,[]
1,57,[]
1,58,"[{""text"": ""New Zealand"", ""label"": ""LOC""}]"
1,59,"[{""text"": ""Tim Lobinger"", ""label"": ""PER""}, {""text"": ""Germany"", ""label"": ""LOC""}]"
1,60,[]
1,61,"[{""text"": ""PHILADELPHIA"", ""label"": ""LOC""}]"
1,62,[]
1,63,[]
1,64,[]
1,65,"[{""text"": ""Richard Finn"", ""label"": ""PER""}]"
1,66,"[{""text"": ""FTO"", ""label"": ""ORG""}, {""text"": ""EOE"", ""label"": ""ORG""}]"
1,67,"[{""text"": ""NEW YORK"", ""label"": ""LOC""}]"
1,68,"[{""text"": ""Briton"", ""label"": ""MISC""}, {""text"": ""World Boxing Council"", ""label"": ""ORG""}, {""text"": ""WBC"", ""label"": ""ORG""}, {""text"": ""Mike Tyson"", ""label"": ""PER""}]"
1,69,"[{""text"": ""Zycie Warszawy"", ""label"": ""ORG""}, {""text"": ""Polish"", ""label"": ""MISC""}, {""text"": ""Wieslaw Kaczmarek"", ""label"": ""PER""}]"
1,70,"[{""text"": ""Chilean"", ""label"": ""MISC""}]"
1,71,"[{""text"": ""Linda Wild"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Barbara Rittner"", ""label"": ""PER""}, {""text"": ""Germany"", ""label"": ""LOC""}, {""text"": ""Asa Carlsson"", ""label"": ""PER""}, {""text"": ""Sweden"", ""label"": ""LOC""}, {""text"": ""Gabriela Sabatini"", ""label"": ""PER""}, {""text"": ""Argentina"", ""label"": ""LOC""}]"
1,72,"[{""text"": ""Reuters"", ""label"": ""ORG""}]"
1,73,"[{""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Alexander Lebed"", ""label"": ""PER""}, {""text"": ""Chechen"", ""label"": ""MISC""}, {""text"": ""Aslan Maskhadov"", ""label"": ""PER""}]"
1,74,"[{""text"": ""Algerian"", ""label"": ""MISC""}, {""text"": ""Human Rights National Observatory"", ""label"": ""ORG""}, {""text"": ""ONDH"", ""label"": ""ORG""}, {""text"": ""Moslem"", ""label"": ""MISC""}]"
1,75,"[{""text"": ""Dole"", ""label"": ""PER""}, {""text"": ""Clinton"", ""label"": ""PER""}, {""text"": ""Dole"", ""label"": ""PER""}, {""text"": ""Scott Reed"", ""label"": ""PER""}]"
1,76,"[{""text"": ""Eagles"", ""label"": ""ORG""}, {""text"": ""Philadelphia"", ""label"": ""ORG""}, {""text"": ""Cunningham"", ""label"": ""PER""}]"
1,77,"[{""text"": ""Frater"", ""label"": ""PER""}, {""text"": ""Cofinec"", ""label"": ""ORG""}]"
1,78,"[{""text"": ""Mark Crear"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}]"
1,79,"[{""text"": ""Telgheder"", ""label"": ""PER""}]"
1,80,"[{""text"": ""BRUSSELS"", ""label"": ""LOC""}]"
1,81,"[{""text"": ""Chechnya"", ""label"": ""LOC""}]"
1,82,[]
1,83,"[{""text"": ""Nagorno-Karabakh"", ""label"": ""LOC""}]"
1,84,[]
1,85,"[{""text"": ""U.S."", ""label"": ""LOC""}]"
1,86,"[{""text"": ""Soviet"", ""label"": ""MISC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Belarus"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Uzbekistan"", ""label"": ""LOC""}, {""text"": ""Armenia"", ""label"": ""LOC""}, {""text"": ""Tajikistan"", ""label"": ""LOC""}, {""text"": ""Russian"", ""label"": ""MISC""}]"
1,87,[]
1,88,[]
1,89,"[{""text"": ""S. Korean"", ""label"": ""MISC""}]"
1,90,"[{""text"": ""Brazil"", ""label"": ""LOC""}]"
1,91,"[{""text"": ""Washington"", ""label"": ""PER""}, {""text"": ""O'Brien"", ""label"": ""PER""}]"
1,92,[]
1,93,[]
1,94,[]
1,95,"[{""text"": ""JOHANNESBURG"", ""label"": ""LOC""}]"
1,96,"[{""text"": ""Caltex Petroleum Corp"", ""label"": ""ORG""}, {""text"": ""Tianjin"", ""label"": ""LOC""}]"
1,97,"[{""text"": ""Singapore"", ""label"": ""LOC""}, {""text"": ""South Korean"", ""label"": ""MISC""}, {""text"": ""Seoul"", ""label"": ""LOC""}]"
1,98,"[{""text"": ""OTTAWA"", ""label"": ""LOC""}]"
1,99,"[{""text"": ""Paul Lawrie"", ""label"": ""PER""}]"
1,100,[]
2,1,"[{""text"": ""TORONTO"", ""label"": ""ORG""}]"
2,2,"[{""text"": ""Maggie McNeil"", ""label"": ""PER""}]"
2,3,[]
2,4,"[{""text"": ""Carl Vinson"", ""label"": ""MISC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Gulf"", ""label"": ""LOC""}]"
2,5,"[{""text"": ""ESCHEN"", ""label"": ""LOC""}, {""text"": ""Liechtenstein"", ""label"": ""LOC""}]"
2,6,"[{""text"": ""Fed"", ""label"": ""ORG""}]"
2,7,"[{""text"": ""Marko Koers"", ""label"": ""PER""}, {""text"": ""Netherlands"", ""label"": ""LOC""}]"
2,8,"[{""text"": ""Lotte"", ""label"": ""ORG""}, {""text"": ""Hyundai"", ""label"": ""ORG""}, {""text"": ""Haitai"", ""label"": ""ORG""}, {""text"": ""Samsung"", ""label"": ""ORG""}]"
2,9,"[{""text"": ""Spitzbergen"", ""label"": ""LOC""}, {""text"": ""Norway"", ""label"": ""LOC""}]"
2,10,"[{""text"": ""New Zealand"", ""label"": ""LOC""}]"
2,11,"[{""text"": ""ENGLAND"", ""label"": ""LOC""}, {""text"": ""MOLDOVA"", ""label"": ""LOC""}]"
2,12,[]
2,13,[]
2,14,"[{""text"": ""BALTIMORE"", ""label"": ""ORG""}]"
2,15,"[{""text"": ""Comelf"", ""label"": ""ORG""}, {""text"": ""Bucharest"", ""label"": ""LOC""}]"
2,16,"[{""text"": ""Donovan Bailey"", ""label"": ""PER""}, {""text"": ""Canada"", ""label"": ""LOC""}, {""text"": ""Michael Johnson"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Frankie"", ""label"": ""PER""}]"
2,17,[]
2,18,[]
2,19,[]
2,20,[]
2,21,"[{""text"": ""Koreans"", ""label"": ""MISC""}]"
2,22,"[{""text"": ""Canada"", ""label"": ""LOC""}, {""text"": ""Bank of Canada"", ""label"": ""ORG""}]"
2,23,"[{""text"": ""Essex"", ""label"": ""ORG""}, {""text"": ""Nasser Hussain"", ""label"": ""PER""}, {""text"": ""Peter Such"", ""label"": ""PER""}, {""text"": ""Yorkshire"", ""label"": ""ORG""}, {""text"": ""Headingley"", ""label"": ""LOC""}]"
2,24,"[{""text"": ""Felicia Ballanger"", ""label"": ""PER""}, {""text"": ""France"", ""label"": ""LOC""}]"
2,25,"[{""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""German"", ""label"": ""MISC""}, {""text"": ""Bonn"", ""label"": ""LOC""}]"
2,26,"[{""text"": ""Henke"", ""label"": ""PER""}]"
2,27,"[{""text"": ""PHILADELPHIA"", ""label"": ""ORG""}]"
2,28,[]
2,29,[]
2,30,"[{""text"": ""Chesterfield"", ""label"": ""LOC""}, {""text"": ""Worcestershire"", ""label"": ""ORG""}, {""text"": ""Derbyshire"", ""label"": ""ORG""}, {""text"": ""J. Adams"", ""label"": ""PER""}, {""text"": ""T.O'Gorman"", ""label"": ""PER""}, {""text"": ""K. Barnett"", ""label"": ""PER""}, {""text"": ""T. Moody"", ""label"": ""PER""}]"
2,31,[]
2,32,[]
2,33,"[{""text"": ""Roger Pavlik"", ""label"": ""PER""}, {""text"": ""American League"", ""label"": ""MISC""}]"
2,34,"[{""text"": ""Falk Balzer"", ""label"": ""PER""}, {""text"": ""Germany"", ""label"": ""LOC""}]"
2,35,[]
2,36,"[{""text"": ""BERLIN"", ""label"": ""LOC""}]"
2,37,"[{""text"": ""U.S."", ""label"": ""LOC""}]"
2,38,"[{""text"": ""Lentini"", ""label"": ""PER""}, {""text"": ""Milan"", ""label"": ""ORG""}, {""text"": ""Torino"", ""label"": ""ORG""}]"
2,39,"[{""text"": ""Stefka Kostadinova"", ""label"": ""PER""}, {""text"": ""Bulgaria"", ""label"": ""LOC""}]"
2,40,"[{""text"": ""Collins"", ""label"": ""PER""}, {""text"": ""Britain"", ""label"": ""LOC""}]"
2,41,"[{""text"": ""Shearer"", ""label"": ""PER""}, {""text"": ""Euro 96"", ""label"": ""MISC""}, {""text"": ""Teddy Sheringham"", ""label"": ""PER""}]"
2,42,"[{""text"": ""RMS Titanic"", ""label"": ""MISC""}]"
2,43,[]
2,44,[]
2,45,"[{""text"": ""St Mirren"", ""label"": ""ORG""}]"
2,46,"[{""text"": ""Lindsey"", ""label"": ""PER""}]"
2,47,"[{""text"": ""Boroughmuir"", ""label"": ""ORG""}, {""text"": ""Hawick"", ""label"": ""ORG""}]"
2,48,"[{""text"": ""LG"", ""label"": ""ORG""}, {""text"": ""OB"", ""label"": ""ORG""}]"
2,49,"[{""text"": ""Marines"", ""label"": ""MISC""}, {""text"": ""Tarawa Amphibious Readiness Group"", ""label"": ""ORG""}]"
2,50,[]
2,51,"[{""text"": ""Commerce"", ""label"": ""ORG""}]"
2,52,"[{""text"": ""Warwickshire"", ""label"": ""ORG""}, {""text"": ""J. Benjamin"", ""label"": ""PER""}, {""text"": ""M. Bicknell"", ""label"": ""PER""}, {""text"": ""Surrey"", ""label"": ""ORG""}, {""text"": ""C. Lewis"", ""label"": ""PER""}, {""text"": ""M. Butcher"", ""label"": ""PER""}, {""text"": ""G. Kersey"", ""label"": ""PER""}, {""text"": ""J. Ratcliffe"", ""label"": ""PER""}, {""text"": ""D. Bicknell"", ""label"": ""PER""}]"
2,53,"[{""text"": ""Montrose"", ""label"": ""ORG""}]"
2,54,"[{""text"": ""Lebed"", ""label"": ""PER""}]"
2,55,"[{""text"": ""Bolesy"", ""label"": ""PER""}, {""text"": ""Florida"", ""label"": ""ORG""}, {""text"": ""John Boles"", ""label"": ""PER""}, {""text"": ""Brown"", ""label"": ""PER""}]"
