item_num,sentence,option1,option2
1,Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.,Ian,Dennis
2,Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.,Ian,Dennis
3,"Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .",Emily,Patricia
4,"Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .",Emily,Patricia
5,Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica
6,Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.,Megan,Jessica
7,Craig really loves to clean all the time but Derrick does not because _ is very neat.,Craig,Derrick
8,Craig really loves to clean all the time but Derrick does not because _ is very untidy.,Craig,Derrick
9,"Feeling a draft, William asked Neil to please close the front door because _ was closer.",William,Neil
10,"Feeling a draft, William asked Neil to please close the front door because _ was farther away.",William,Neil
11,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer.,Elena,Megan
12,Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a businessperson.,Elena,Megan
13,"Kenneth asked Dennis what time the dance was being held, but _ had forgotten.",Kenneth,Dennis
14,"Kenneth asked Dennis what time the dance was being held, because _ had forgotten.",Kenneth,Dennis
15,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid.",Eric,Neil
16,"Eric was teaching all of the proper stretches to Neil, because _ was using them to get in shape.",Eric,Neil
17,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house.",Patricia,Tanya
18,"When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 1 bedroom house.",Patricia,Tanya
19,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure.,Kevin,Nelson
20,Handling emergencies was never very difficult for Kevin but it was for Nelson because _ wasn't able to remain calm under pressure.,Kevin,Nelson
21,"Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups.",Emily,Sarah
22,"Emily asked her sister Sarah if she needed any tampons or pads from the store, but _ didn't because she had switched to using menstrual cups.",Emily,Sarah
23,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies.",Elena,Tanya
24,"Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was susceptible to allergies.",Elena,Tanya
25,"Rebecca picked up Amy to carpool to work every day, so _ asked for some gas money.",Rebecca,Amy
26,"Rebecca picked up Amy to carpool to work every day, so _ offered some gas money.",Rebecca,Amy
27,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.",Dennis,Jason
28,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.",Dennis,Jason
29,"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph
30,"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph
31,"Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.",Kevin,Nick
32,"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",Kevin,Nick
33,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.,Adam,Aaron
34,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.,Adam,Aaron
35,"Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.",Derrick,Justin
36,"Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.",Derrick,Justin
37,"Kayla dated many more people at once than Betty, because _ was in an open relationship.",Kayla,Betty
38,"Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.",Kayla,Betty
39,"The letter that Joel has written is being read by Adam, so _ is the writer.",Joel,Adam
40,"The letter that Joel has written is being read by Adam, so _ is the editor.",Joel,Adam
41,"Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.",Kyle,Nick
42,"Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.",Kyle,Nick
43,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.",Joseph,Kevin
44,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.",Joseph,Kevin
45,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.",Dennis,Christopher
46,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.",Dennis,Christopher
47,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.",Leslie,Derrick
48,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.",Leslie,Derrick
49,Nick had a bigger dog than Craig because _ fed their dog much more food.,Nick,Craig
50,Nick had a smaller dog than Craig because _ fed their dog much more food.,Nick,Craig
51,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.,Christine,Victoria
52,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.,Christine,Victoria
53,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.,Kyle,Steven
54,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.,Kyle,Steven
55,Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.,Eric,Michael
56,Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.,Eric,Michael
57,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.",Amy,Kayla
58,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.",Amy,Kayla
59,Eric looked at Neil in shock and started to react violently because _ lied to him.,Eric,Neil
60,Eric looked at Neil in shock and started to react violently because _ felt betrayed.,Eric,Neil
61,Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.,Samantha,Emily
62,Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.,Samantha,Emily
63,Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.,Jessica,Katrina
64,Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.,Jessica,Katrina
65,"Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.",Laura,Katrina
66,"Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.",Laura,Katrina
67,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.,Brian,Kenneth
68,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.,Brian,Kenneth
69,"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",Brian,Kevin
70,"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",Brian,Kevin
71,"William forgot about all the times when Ian saved them, because _ was generally self-involved.",William,Ian
72,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in Korea.",Katrina,Felicia
73,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in the US.",Katrina,Felicia
74,Jason denied Ian's passport application because _ did not provide the correct paperwork in time.,Jason,Ian
75,Jason denied Ian's passport application because _ did not receive the correct paperwork in time.,Jason,Ian
76,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat down.",Kyle,William
77,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat up.",Kyle,William
78,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to give them cereal.",William,Kevin
79,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to eat cereal.",William,Kevin
80,Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized.,Justin,Matthew
81,Justin wrote a paragraph in his planner every day unlike Matthew because _ was organized.,Justin,Matthew
82,Erin is known an an entrepreneur while Victoria is only an employee because _ owns a business.,Erin,Victoria
83,Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business.,Erin,Victoria
84,After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.,Logan,Joseph
85,After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.,Logan,Joseph
86,The experience was totally unforgettable for Betty but not Samantha because _ had dreaded it for months.,Betty,Samantha
87,The experience was totally unforgettable for Betty but not Samantha because _ had anticipated it for months.,Betty,Samantha
88,Kyle got a new cell phone and showed it to Leslie because _ was happy about the new phone.,Kyle,Leslie
89,Kyle got a new cell phone and showed it to Leslie but _ was upset about the new phone.,Kyle,Leslie
90,"Neil agreed to help wash Adam's large dog, and _ was very eager to help.",Neil,Adam
91,"Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.",Neil,Adam
92,It was clear that Jessica understood and was entertained by the article from Monica because _ was the reader.,Jessica,Monica
93,It was clear that Jessica understood and was entertained by the article from Monica because _ was the writer.,Jessica,Monica
94,"In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.",Emily,Maria
95,"In an effort to control kennel cough, Emily sent Maria to get the medication because _ was busy examining the animals.",Emily,Maria
96,The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.,Leslie,Logan
97,The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.,Leslie,Logan
98,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had more sun damage.",Derrick,Jeffrey
99,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had less sun damage.",Derrick,Jeffrey
100,"Robert made the choice to buy Neil's house, so _ had a lot more money in the bank afterwards.",Robert,Neil
101,"Robert made the choice to buy Neil's house, so _ had a lot less money in the bank afterwards.",Robert,Neil
102,"When opening up about their crushes, Kenneth sighed at Jeffrey because _ forgot who their crush was.",Kenneth,Jeffrey
103,"When opening up about their crushes, Kenneth laughed at Jeffrey because _ remembered who their crush was.",Kenneth,Jeffrey
104,Christopher wanted to be a specialist but not Adam because _ had an interest in a limited number of subjects.,Christopher,Adam
105,Christopher wanted to be a specialist but not Adam because _ had an interest in a many number of subjects.,Christopher,Adam
106,Donald offered Leslie their last stick of  mint gum as _ had a minty breath already.,Donald,Leslie
107,Donald offered Leslie their last sick some mint gum as _ had a stinky breath already.,Donald,Leslie
108,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with low calorie sweetener and the judges went by taste.",Samuel,Kyle
109,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with high calorie sweetener and the judges went by taste.",Samuel,Kyle
110,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ liked her.,Felicia,Christine
111,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ she was not lesbian.,Felicia,Christine
112,Matthew wants to sell Kevin tickets to the football game because _ needs the money.,Matthew,Kevin
113,Matthew wants to sell Kevin tickets to the football game but _ has no money.,Matthew,Kevin
114,Elena told Natalie to put the hood of her jacket up because _ was likely to get cold.,Elena,Natalie
115,Elena told Natalie to put the hood of her jacket up because _ didn't want her to get cold.,Elena,Natalie
116,Matthew offered to help write a fitness plan for Christopher because _ was out of shape.,Matthew,Christopher
117,Matthew offered to help write a fitness plan for Christopher because _ was a personal trainer.,Matthew,Christopher
118,Katrina sells Maria a rug at the local flea market because _ is a customer.,Katrina,Maria
119,Katrina sells Maria a rug at the local flea market because _ is a vendor.,Katrina,Maria
120,Carrie's store has more loyal customers than Patricia's store does because _ 's store is older.,Carrie,Patricia
121,Carrie's store has more loyal customers than Patricia's store does because _ 's store is newer.,Carrie,Patricia
122,Christine didn't pass the lie detection test that Jessica did because _ had something to hide.,Christine,Jessica
123,Christine didn't pass the lie detection test that Jessica did because _ had nothing to hide.,Christine,Jessica
124,Carrie faced the fan away from Angela because _ was getting too warm in the kitchen.,Carrie,Angela
125,Carrie faced the fan toward Angela because _ was getting too warm in the kitchen.,Carrie,Angela
126,"The winter made Jason's hands dry, but not Leslie's, since _ always forgot to moisturize at night.",Jason,Leslie
127,"The winter made Jason's hands dry, but not Leslie's, since _ never forgot to moisturize at night.",Jason,Leslie
128,Randy started his own business while Ryan worked for someone else so _ had self-employment taxes.,Randy,Ryan
129,Randy started his own business while Ryan worked for someone else so _ had W4 taxes.,Randy,Ryan
130,Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up on a farm.,Monica,Natalie
131,Monica enjoyed watching Western films while Natalie enjoyed romantic ones more because _ grew up watching soap operas.,Monica,Natalie
132,Drawing was a talent of Sarah but not Carrie so _ was always eager to see her artwork .,Sarah,Carrie
133,Drawing was a talent of Sarah but not Carrie so _ was always eager to show her her artwork .,Sarah,Carrie
134,Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very dowdy.,Emily,Rachel
135,Emily spent a lot of money on their smartphone but Rachel bought a cheap one because _ was very stylish.,Emily,Rachel
136,Neil asked Michael what it was like to go to war because _ was a pacifist.,Neil,Michael
137,Neil asked Michael what it was like to go to war because _ was ex-military.,Neil,Michael
138,"Jennifer was at risk of encountering a shark during their swim, but Emily was not, because _ swam in the ocean.",Jennifer,Emily
139,"Jennifer was at risk of encountering a shark during their swim, but Emily was not, because _ swam in the lake.",Jennifer,Emily
140,"Ian is making a pool party for Neil and needs to raise pH in a pool, so _ could safely enjoy party.",Ian,Neil
141,"Ian is making a pool party for Neil and needs to raise pH in a pool, so _ buys pH raising preparates.",Ian,Neil
142,"Kevin didn't consider the costs when they bought the house from Derrick, so _ was rid of the money pit.",Kevin,Derrick
143,"Kevin didn't consider the costs when they bought the house from Derrick, so _ was stuck with the money pit.",Kevin,Derrick
144,Robert helped create an internet viral video sensation of Kyle when _ danced in video.,Robert,Kyle
145,Robert helped create an internet viral video sensation of Kyle when _ directed the video.,Robert,Kyle
146,Betty was able to hold the pigeon longer than Angela because _ is scared of birds.,Betty,Angela
147,Betty was able to hold the pigeon longer than Angela because _ wasn't scared of birds.,Betty,Angela
148,Learning to play a glockenspiel was instinctual for Derrick but not Adam because _ is arty.,Derrick,Adam
149,Learning to play a glockenspiel was instinctual for Derrick but not Adam because _ is unmusical.,Derrick,Adam
150,"Donald didn't like to keep clean the way Matthew did, so _ tended to smell nice.",Donald,Matthew
151,"Donald didn't like to keep clean the way Matthew did, so _ tended to smell nasty.",Donald,Matthew
152,"Sunday afternoon Laura made some buttermilk biscuits for Victoria, and _ made quick work of making them.",Laura,Victoria
153,"Sunday afternoon Laura made some buttermilk biscuits for Victoria, and _ made quick work of eating them.",Laura,Victoria
154,"Rachel included Tanya in her YouTube video, but _ was furious because she had failed to obtain permission.",Rachel,Tanya
155,"Rachel included Tanya in her YouTube video, but _ was sorry because she had failed to obtain permission.",Rachel,Tanya
156,"Katrina loaned their jacket to Carrie during the cold night, although _ was feeling cold themselves.",Katrina,Carrie
157,"Katrina loaned their jacket to Carrie during the cold night, because _ was feeling cold.",Katrina,Carrie
158,Adam had to schedule a visit a dermatologist but Joseph didn't because _ had bad skin.,Adam,Joseph
159,Adam had to schedule a visit a dermatologist but Joseph didn't because _ had good skin.,Adam,Joseph
160,"While Maria rode the bus to work, Megan rode a motorcycle because _ had an unexpired license.",Maria,Megan
161,"While Maria rode the bus to work, Megan rode a motorcycle because _ had an expired license.",Maria,Megan
162,Kevin repaired the wooden  furniture for Kyle last week since _ was an expert carpenter.,Kevin,Kyle
163,Kevin repaired the wooden furniture for Kyle last week since _ needed an expert carpenter.,Kevin,Kyle
164,"The system that Jeffrey used was amazing compared to Randy, because _ system was lower end.",Jeffrey,Randy
165,"The system that Jeffrey used was amazing compared to Randy, because _ system was higher end.",Jeffrey,Randy
166,"Adam found the blue joke that Steven offensive, because _ was aware of their own privilege.",Adam,Steven
167,"Adam found the blue joke that Steven offensive, because _ was unaware of their own privilege.",Adam,Steven
168,Eric was easier to amuse than Justin because _ had a great sense of humor.,Eric,Justin
169,Eric was easier to amuse than Justin because _ had a bad sense of humor.,Eric,Justin
170,"The payments were made by Jason to Dennis, as _ had borrowed so much money in the past.",Jason,Dennis
171,"The payments were made by Jason to Dennis, as _ had lent so much money in the past.",Jason,Dennis
172,"Victoria was disgusted because of the odor of Sarah, and _ did not want to be around them.",Victoria,Sarah
173,"Victoria was disgusted because of the odor of Sarah, and _ was ashamed to be around them.",Victoria,Sarah
174,Jessica was thinner than Rebecca because _ ate chocolate almost every day as a snack.,Jessica,Rebecca
175,Jessica was fatter than Rebecca because _ ate chocolate almost every day as a snack.,Jessica,Rebecca
176,Tanya couldn't stretch as far down as Jennifer because _ was had a very flexible body.,Tanya,Jennifer
177,Tanya couldn't stretch as far down as Jennifer because _ was had a very rigid body.,Tanya,Jennifer
178,Randy is better at playing pretend with kids than Kenneth because _ is a more serious person.,Randy,Kenneth
179,Randy is better at playing pretend with kids than Kenneth because _ is a more creative person.,Randy,Kenneth
180,"Kayla decided to talk to her daughter Sarah about puberty, because _ found out she had just gotten her first period.",Kayla,Sarah
181,"Kayla decided to talk to her daughter Sarah about puberty, because _ said she had just gotten her first period.",Kayla,Sarah
182,"Jeffrey asked Joel to express their feelings in a more productive manner, but _ was actually the one being reasonable.",Jeffrey,Joel
183,"Jeffrey asked Joel to express their feelings in a more productive manner, but _ was actually the one being petty.",Jeffrey,Joel
184,Jennifer was better at playing sports than Laura was although _ was much more athletic.,Jennifer,Laura
185,Jennifer was better at playing sports than Laura was because _ was much more athletic.,Jennifer,Laura
186,"At the mall, Laura applied makeup on Betty to beautify her because _ was not very attractive.",Laura,Betty
187,"At the mall, Laura applied makeup on Betty to beautify her because _ was an expert.",Laura,Betty
188,"Randy learned to fish from Derrick, because _ was a professional with years of experience.",Randy,Derrick
189,"Randy learned to fish from Derrick, because _ was a novice with only days of experience.",Randy,Derrick
190,Amy wanted a soft toothbrush but Mary wanted a firm one because _ was concerned about tarter.,Amy,Mary
191,Amy wanted a soft toothbrush but Mary wanted a firm one because _ was concerned about soreness.,Amy,Mary
192,Jeffrey build a house for Kenneth so _ will have a nice new place to live.,Jeffrey,Kenneth
193,Jeffrey build a house with Kenneth's help so _ will have a nice new place to live.,Jeffrey,Kenneth
194,"Megan had a baby whereas Katrina had a college aged child, so _ still had to change diapers.",Megan,Katrina
195,"Megan had a baby whereas Katrina had a college aged child, so _ no longer had to change diapers.",Megan,Katrina
196,Megan received flowers from Carrie because _ wanted to ask them out on a date.,Megan,Carrie
197,Megan gave flowers to Carrie because _ wanted to ask them out on a date.,Megan,Carrie
198,"Matthew spent the weekend watching a baby while Benjamin was on vacation, and _ made sure their vacation was relaxing.",Matthew,Benjamin
199,"Matthew spent the weekend watching a baby while Benjamin was on vacation, and _ made sure the baby was fed.",Matthew,Benjamin
200,"Lawrence planned to steal the valuable painting from Michael, because _ finally owned something beautiful.",Lawrence,Michael
201,"Lawrence planned to steal the valuable painting from Michael, because _ wanted to own something beautiful.",Lawrence,Michael
202,The idea was given to Steven to mull over and not Ryan because _ is more creative.,Steven,Ryan
203,The idea was given to Steven to mull over and not Ryan because _ is less creative.,Steven,Ryan
204,Michael bought mealworms as pet food but not Kenneth because _ had a pony as a pet.,Michael,Kenneth
205,Michael bought mealworms as pet food but not Kenneth because _ had a lizard as a pet.,Michael,Kenneth
206,Lawrence was more grateful for their gift than Benjamin was for theirs because _ had gotten much more.,Lawrence,Benjamin
207,Lawrence was more grateful for their gift than Benjamin was for theirs because _ had gotten much less.,Lawrence,Benjamin
208,"Mary is sending an important package to Sarah, so _ collects it from the post office.",Mary,Sarah
209,"Mary is sending an important package to Sarah, so _ takes it to the post office.",Mary,Sarah
210,"Craig volunteered to help the dyslexic students at the school while Joel avoided them, since _ struggled with reading.",Craig,Joel
211,"Craig volunteered to help the dyslexic students at the school while Joel avoided them, since _ loved reading.",Craig,Joel
212,"Joseph decided to groom their dog in the waiting room unlike Leslie, so _ had the cleaner dog.",Joseph,Leslie
213,"Joseph decided to groom their dog in the waiting room unlike Leslie, so _ had the dirtier dog.",Joseph,Leslie
214,"Ian did not see the tumor on Brett's leg, because _ was only receiving an eye exam.",Ian,Brett
215,"Ian did not see the tumor on Brett's leg, because _ was only performing an eye exam.",Ian,Brett
216,Samuel knew to recycle aluminum cans but not Logan because _ was never in need of extra change.,Samuel,Logan
217,Samuel knew to recycle aluminum cans but not Logan because _ was always in need of extra change.,Samuel,Logan
218,"Rachel had a dog but Cynthia's dog was given up for adoption recently, so _ gave them their old leash.",Rachel,Cynthia
219,"Rachel had a dog but Cynthia's dog was given up for adoption recently, so _ was given their old leash.",Rachel,Cynthia
220,Betty is known as bilingual while Rachel is known as multilingual because _ can only speak two languages.,Betty,Rachel
221,Betty is known as bilingual while Rachel is known as multilingual because _ can speak more than two languages.,Betty,Rachel
222,Benjamin had a more juvenile sense of humor than Donald so _ hated whoopie cushions.,Benjamin,Donald
223,Benjamin had a more juvenile sense of humor than Donald so _ enjoyed whoopie cushions.,Benjamin,Donald
224,The ground around Michael's house was solid unlike Aaron's because _ had a month long rainfall.,Michael,Aaron
225,The ground around Michael's house was solid unlike Aaron's because _ had a month long drought.,Michael,Aaron
226,"Megan inserted an IV into Sarah's arm once they were admitted to the hospital, because _ was a nurse.",Megan,Sarah
227,"Megan inserted an IV into Sarah's arm once they were admitted to the hospital, because _ was dehydrated.",Megan,Sarah
228,Brett was more prepared to be a parent than Aaron because _ had spent a lot of time with children.,Brett,Aaron
229,Brett was more prepared to be a parent than Aaron because _ had spent very little time with children.,Brett,Aaron
230,Patricia chose a hardy cultivar to grow unlike Tanya because _ had very fertile soil.,Patricia,Tanya
231,Patricia chose a hardy cultivar to grow unlike Tanya because _ had very rocky soil.,Patricia,Tanya
232,Donald invited Brett to Paris because _ knew how to speak the native language perfectly.,Donald,Brett
233,Donald invited Brett to Paris because _ didn't know how to speak the native language.,Donald,Brett
234,Michael discovered Craig was a respected doctor so _ was asked many health related questions.,Michael,Craig
235,Michael discovered Craig was a respected doctor so _ asked him many health related questions.,Michael,Craig
236,It was easy for Joel but not Kevin to have fun on the camping trip because _ had not learned how to enjoy the outdoors.,Joel,Kevin
237,It was easy for Joel but not Kevin to have fun on the camping trip because _ learned early how to enjoy the outdoors.,Joel,Kevin
238,"Dennis had a much higher testosterone level than Christopher, so _ started to worry about being able to have children.",Dennis,Christopher
239,"Dennis had a much higher testosterone level than Christopher, so _ didn't have to worry about being able to have children.",Dennis,Christopher
240,The ability to study French came easier to Angela than Samantha because _ had a strong language background.,Angela,Samantha
241,The ability to study French came easier to Angela than Samantha because _ did not have a strong language background.,Angela,Samantha
242,Katrina loves the taste of lettuce but Angela doesn't. _ ordered a big salad for dinner.,Katrina,Angela
243,Katrina loves the taste of lettuce but Angela doesn't. _ ordered a big steak for dinner.,Katrina,Angela
244,"Jason approached Steven to deliver the official subpoena and court summons, because _ was employed as a process server.",Jason,Steven
245,"Jason approached Steven to deliver the official subpoena and court summons, because _ was being sued.",Jason,Steven
246,"Natalie helped Monica to get into a treatment program, after _ told of her drug addiction.",Natalie,Monica
247,"Natalie helped Monica to get into a treatment program, after _ heard of her drug addiction.",Natalie,Monica
248,Nelson went to the doctors office without Dennis because _ had to change his prescription.,Nelson,Dennis
249,Nelson went to the doctors office without Dennis because _ had to change the engine oil.,Nelson,Dennis
250,"Ian asked Kevin to help with their taxes because _ was a successful, trained accountant.",Ian,Kevin
251,"Ian was asked by Kevin to help with their taxes because _ was a successful, trained accountant.",Ian,Kevin
252,Justin was very good at playing music on the guitar unlike Craig because _ was very musical.,Justin,Craig
253,Justin was very good at playing music on the guitar unlike Craig because _ was very sporty.,Justin,Craig
254,"Jason was bald, but Hunter had a full head of hair, so _ had no need to buy hair gel.",Jason,Hunter
255,"Jason was bald, but Hunter had a full head of hair, so _ needed to buy hair gel.",Jason,Hunter
256,"Lawrence shovelled their driveway after the snow storm while Aaron avoided doing so, so _ had a driveway that was covered in snow.",Lawrence,Aaron
257,"Lawrence shovelled their driveway after the snow storm while Aaron avoided doing so, so _ had a driveway that was free from snow.",Lawrence,Aaron
258,"Patricia always had to clean up after Angela, because _ didn't care about living in filth.",Patricia,Angela
259,"Patricia always had to clean up after Angela, because _ didn't want to live in filth.",Patricia,Angela
260,"Jeffrey believed Robert was spying on him during the private event, because _ was sneaky.",Jeffrey,Robert
261,"Jeffrey believed Robert was spying on him during the private event, because _ was paranoid.",Jeffrey,Robert
262,"Christopher needs Ian's advice on how to create a positive classroom atmosphere, because _ is a new teacher.",Christopher,Ian
263,"Christopher needs Ian's advice on how to create a positive classroom atmosphere, because _ is an experienced teacher.",Christopher,Ian
264,Emily was having difficulty going through puberty but not Christine because _ had very weak acne causing hormones.,Emily,Christine
265,Emily was having difficulty going through puberty but not Christine because _ had very strong acne causing hormones.,Emily,Christine
266,"Hunter likes tulips and Ryan does not, so _ went to buy some from the store.",Hunter,Ryan
267,"Hunter likes tulips and Ryan does not, so _ refused to buy some from the store.",Hunter,Ryan
268,"Victoria decided to choose express shipping while Katrina did not, so _ got her order last.",Victoria,Katrina
269,"Victoria decided to choose express shipping while Katrina did not, so _ got her order first.",Victoria,Katrina
270,Victoria was more fashionable than Elena because _ always was concerned about leaving dandruff on their shirts.,Victoria,Elena
271,Victoria was more fashionable than Elena but  _ always was concerned about leaving dandruff on their shirts.,Victoria,Elena
272,Carrie needed to be vigilant about her bone health which Natalie worries about since _ is concerned.,Carrie,Natalie
273,Carrie needed to be vigilant about her bone health which Natalie worries about since _ is elderly.,Carrie,Natalie
274,Sarah was a much better surgeon than Maria so _ always got the easier cases.,Sarah,Maria
275,Sarah was a much better surgeon than Maria so _ always got the harder cases.,Sarah,Maria
276,"At night, Jeffrey always stays up later than Hunter to watch TV because _ wakes up late.",Jeffrey,Hunter
277,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were new and perfect.,Michael,Leslie
278,Michael just bought brand new wheels for his truck unlike Leslie because _ wheels were old and used.,Michael,Leslie
